series0
x;y;
1327;-66.11;
1328;-68.09;
1329;-71.76;
1330;-73.42;
1331;-75.15;
1332;-76.69;
1333;-78.25;
1334;-79.63;
1335;-80.94;
1336;-82.21;
1337;-84.46;
1338;-85.51;
1339;-86.41;
1340;-87.26;
1341;-87.98;
1342;-88.70;
1343;-89.81;
1344;-89.81;
1345;-90.72;
1346;-90.80;
1347;-90.75;
1348;-90.71;
1349;-90.69;
1350;-90.66;
1351;-90.59;
1352;-90.54;
1353;-90.47;
1354;-90.20;
1355;-88.87;
1356;-87.89;
1357;-85.81;
1358;-83.24;
1359;-81.83;
1360;-80.41;
1361;-77.20;
1362;-75.48;
1363;-71.86;
1364;-69.84;
1365;-67.90;
1366;-65.93;
1367;-63.85;
1368;-61.74;
1369;-57.26;
1370;-54.95;
1371;-52.96;
1372;-50.68;
1373;-47.86;
1374;-45.53;
1375;-40.21;
1376;-37.47;
1377;-34.73;
1378;-32.61;
1379;-29.08;
1380;-26.09;
1381;-20.64;
1382;-20.64;
1383;-15.04;
1384;-12.42;
1385;-9.65;
1386;-6.80;
1387;-0.87;
1388;2.02;
1389;4.86;
1390;7.72;
1391;10.54;
1392;13.44;
1393;19.15;
1394;21.97;
1395;24.74;
1396;27.50;
1397;30.23;
1398;32.92;
1399;38.25;
1400;40.89;
1401;43.44;
1402;45.93;
1403;48.35;
1404;50.78;
1405;55.49;
1406;57.70;
1407;59.91;
1408;62.05;
1409;66.15;
1410;66.15;
1411;69.94;
1412;71.76;
1413;73.43;
1414;75.05;
1415;76.67;
1416;78.16;
1417;81.01;
1418;82.20;
1419;83.41;
1420;84.56;
1421;85.46;
1422;86.41;
1423;88.09;
1424;88.72;
1425;89.70;
1426;90.11;
1427;90.46;
1428;90.64;
1429;90.76;
1430;90.71;
1431;90.49;
1432;90.26;
1433;90.02;
1434;89.81;
1435;89.50;
1436;88.83;
1437;88.11;
1438;87.12;
1439;85.88;
1440;84.78;
1441;82.10;
1442;80.64;
1443;79.12;
1444;77.42;
1445;75.73;
1446;73.98;
1447;70.15;
1448;68.08;
1449;64.04;
1450;61.88;
1451;57.42;
1452;55.01;
1453;53.19;
1454;50.92;
1455;45.72;
1456;42.86;
1457;37.61;
1458;34.60;
1459;31.75;
1460;29.02;
1461;23.46;
1462;20.70;
1463;17.81;
1464;15.04;
1465;9.65;
1466;6.81;
1467;3.89;
1468;0.90;
1469;-1.99;
1470;-4.94;
1471;-10.67;
1472;-13.56;
1473;-16.38;
1474;-19.20;
1475;-22.04;
1476;-24.80;
1477;-30.33;
1478;-33.01;
1479;-35.69;
1480;-38.37;
1481;-43.43;
1482;-45.96;
1483;-48.41;
1484;-53.20;
1485;-55.49;
1486;-57.72;
1487;-62.05;
1488;-64.10;
1489;-68.05;
1490;-69.88;
1491;-71.71;
1492;-73.39;
1493;-76.66;
1494;-78.19;
1495;-79.59;
1496;-80.90;
1497;-83.36;
1498;-84.44;
1499;-85.52;
1500;-86.40;
1501;-87.26;
1502;-87.95;
1503;-89.33;
1504;-89.79;
1505;-90.32;
1506;-90.71;
1507;-90.74;
1508;-90.72;
1509;-90.69;
1510;-90.64;
1511;-90.60;
1512;-90.56;
1513;-90.46;
1514;-90.21;
1515;-89.61;
1516;-88.89;
1517;-87.94;
1518;-86.90;
1519;-84.60;
1520;-83.26;
1521;-81.89;
1522;-80.44;
1523;-77.27;
1524;-75.53;
1525;-73.68;
1526;-71.94;
1527;-69.88;
1528;-67.94;
1529;-63.89;
1530;-61.78;
1531;-59.50;
1532;-57.29;
1533;-52.99;
1534;-50.73;
1535;-47.95;
1536;-45.60;
1537;-40.28;
1538;-37.53;
1539;-34.77;
1540;-32.66;
1541;-26.10;
1542;-26.10;
1543;-20.68;
1544;-17.91;
1545;-15.04;
1546;-12.47;
1547;-6.86;
1548;-3.84;
1549;-0.93;
1550;1.98;
1551;7.65;
1552;10.48;
1553;13.36;
1554;16.26;
1555;21.91;
1556;27.44;
1557;30.18;
1558;30.18;
1559;32.87;
1560;38.19;
1561;40.82;
1562;43.37;
1563;45.88;
1564;50.74;
1565;53.10;
1566;55.44;
1567;57.65;
1568;62.00;
1569;64.12;
1570;66.11;
1571;68.04;
1572;71.70;
1573;73.40;
1574;75.04;
1575;76.67;
1576;78.18;
1577;79.56;
1578;82.19;
1579;83.40;
1580;84.57;
1581;85.46;
1582;87.22;
1583;88.02;
1584;88.64;
1585;89.29;
1586;90.11;
1587;90.11;
1588;90.64;
1589;90.78;
1590;90.75;
1591;90.73;
1592;90.50;
1593;90.31;
1594;90.08;
1595;89.87;
1596;89.50;
1597;88.87;
1598;88.12;
1599;87.14;
1600;84.79;
1601;83.53;
1602;80.65;
1603;79.14;
1604;75.76;
1605;74.01;
1606;71.96;
1607;68.09;
1608;64.06;
1609;61.91;
1610;57.45;
1611;57.45;
1612;53.21;
1613;50.98;
1614;48.36;
1615;45.76;
1616;40.36;
1617;37.64;
1618;34.66;
1619;31.83;
1620;26.31;
1621;23.49;
1622;20.74;
1623;17.87;
1624;15.07;
1625;12.51;
1626;6.86;
1627;3.94;
1628;0.95;
1629;-1.95;
1630;-7.75;
1631;-10.62;
1632;-13.51;
1633;-16.33;
1634;-21.98;
1635;-24.74;
1636;-27.52;
1637;-30.29;
1638;-35.64;
1639;-38.31;
1640;-40.88;
1641;-43.38;
1642;-48.35;
1643;-50.74;
1644;-53.15;
1645;-55.44;
1646;-57.67;
1647;-59.88;
1648;-64.07;
1649;-66.03;
1650;-69.84;
1651;-69.84;
1652;-73.35;
1653;-75.08;
1654;-76.63;
1655;-78.17;
1656;-80.87;
1657;-82.15;
1658;-83.34;
1659;-84.42;
1660;-86.38;
1661;-87.24;
1662;-87.95;
1663;-88.68;
1664;-89.76;
1665;-90.30;
1666;-90.78;
1667;-90.71;
1668;-90.69;
1669;-90.62;
1670;-90.56;
1671;-90.51;
1672;-90.22;
1673;-89.63;
1674;-87.95;
1675;-86.95;
1676;-84.63;
1677;-83.28;
1678;-81.91;
1679;-80.48;
1680;-77.29;
1681;-75.58;
1682;-73.66;
1683;-71.94;
1684;-67.98;
1685;-67.98;
1686;-63.94;
1687;-61.82;
1688;-57.35;
1689;-55.03;
1690;-53.04;
1691;-50.79;
1692;-45.65;
1693;-42.92;
1694;-40.32;
1695;-37.60;
1696;-32.72;
1697;-29.19;
1698;-26.17;
1699;-23.36;
1700;-17.97;
1701;-15.10;
1702;-12.50;
1703;-9.74;
1704;-3.92;
1705;-0.98;
1706;1.90;
1707;4.74;
1708;10.42;
1709;13.32;
1710;16.20;
1711;19.04;
1712;24.63;
1713;27.37;
1714;30.12;
1715;35.52;
1716;38.15;
1717;40.78;
1718;45.84;
1719;48.28;
1720;50.68;
1721;53.05;
1722;57.60;
1723;59.84;
1724;61.95;
1725;64.08;
1726;68.01;
1727;69.86;
1728;71.65;
1729;73.36;
1730;76.64;
1731;78.18;
1732;79.53;
1733;80.98;
1734;83.39;
1735;84.58;
1736;85.48;
1737;86.37;
1738;88.04;
1739;88.73;
1740;89.24;
1741;89.55;
1742;90.43;
1743;90.63;
1744;90.78;
1745;90.78;
1746;90.64;
1747;90.42;
1748;90.19;
1749;89.99;
1750;89.71;
1751;89.52;
1752;88.17;
1753;87.18;
1754;85.94;
1755;83.57;
1756;80.67;
1757;77.46;
1758;74.05;
1759;71.97;
1760;68.15;
1761;66.04;
1762;61.96;
1763;59.73;
1764;55.13;
1765;53.24;
